"NID","CaseID","CaseDT","EventName","DisasterMainType","DisasterSubType","Coordinate","WGS84_lon","WGS84_lat","CityName","TownName","Address","CaseDescription","DeathNo","MissingNo","InjuredNo","TrappedNo","ShelterNo","CaseStatus","GeometryType","SourceType","CaseInformer","Is_Traffic","Is_Serious","nTWD97_X","nTWD97_Y","WriteDateTime"
187750,"042017060002613","2017-06-23T16:03:59","106年6月EMIC操作演練中央專案","積淹水災情","道路積淹水","120.819868,24.561955",120.819868,24.561955,"苗栗縣","苗栗市  ","苗栗縣苗栗市府前路70號","苗栗縣苗栗市府前路70號路面積水 無法通行 ==================== 苗栗縣苗栗市自治路82巷2號建築物半倒 ",0,0,0,10,0,"已處理","點","災情查報WEB","","否","否",231753.52,2717272.25,"2017-06-23T16:27:00"
187751,"042017060002606","2017-06-23T16:01:53","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.924574,24.551008",120.924574,24.551008,"苗栗縣","獅潭鄉  ","苗栗縣獅潭鄉永興村","土石流災情發生 ==================== 陸樹傾倒阻礙交通 ",0,0,0,0,0,"未指派","點","災情查報WEB","","否","是",242359.06,2716049.98,"2017-06-23T16:27:00"
187752,"042017060002587","2017-06-23T16:00:57","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.704374447354,24.4889993662694",120.704374,24.488999,"苗栗縣","通霄鎮  ","苗栗縣通霄鎮","路樹 ==================== 路樹倒塌  ==================== 廣告招牌欲墜 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","是",220037.24,2709212.18,"2017-06-23T16:27:00"
187753,"042017060002579","2017-06-23T16:00:47","106年6月EMIC操作演練中央專案","橋梁災情","橋墩基礎沖刷","120.88608741760254,24.62610846080021",120.886087,24.626108,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉[苗栗縣造橋鄉大西村2鄰慈聖路280巷18號]","999999999 ==================== 101001001100101001010 ",0,0,0,0,0,"已處理","點","災情查報WEB","","是","否",238467.12,2724370.48,"2017-06-23T16:27:00"
187754,"042017060002610","2017-06-23T16:00:45","106年6月EMIC操作演練中央專案","橋梁災情","河川水位達警戒水位及封閉橋梁","120.926550274998,24.6691990676324",120.92655,24.669199,"苗栗縣","頭份市  ","苗栗縣頭份市","oo溪流域溪水暴漲已達警戒水位 ==================== oo街淹水 ",0,0,0,0,0,"已處理","點","災情查報WEB","","是","否",242566.26,2729140.25,"2017-06-23T16:27:00"
187755,"042017060002595","2017-06-23T16:00:31","106年6月EMIC操作演練中央專案","土石災情","土石崩落","120.89941263198853,24.444082737930216",120.899413,24.444083,"苗栗縣","大湖鄉  ","苗栗縣大湖鄉富興村[苗栗縣大湖鄉富興村]","土石崩落造成雙向道單向通車 ==================== 土石崩落造成車輛通行受阻 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","是",239801.5,2704209.15,"2017-06-23T16:27:00"
187756,"042017060002598","2017-06-23T15:58:42","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌欲墜","120.798086697792,24.4607995892671",120.798087,24.4608,"苗栗縣","銅鑼鄉  ","苗栗縣銅鑼鄉","招牌掉落 ==================== 路樹倒塌 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",229530.8,2706071.83,"2017-06-23T16:27:00"
187757,"042017060002569","2017-06-23T15:58:32","106年6月EMIC操作演練中央專案","土石災情","土石流","120.851579,24.29555",120.851579,24.29555,"苗栗縣","卓蘭鎮  ","苗栗縣卓蘭鎮內灣里18鄰東盛","土石流從山壁刷落,恐影嚮山壁旁9戶住戶",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",234934.09,2687763.1,"2017-06-23T16:27:00"
187758,"042017060002570","2017-06-23T15:58:30","106年6月EMIC操作演練中央專案","土石災情","土石流","121.04860782623291,24.544234434299295",121.048608,24.544234,"苗栗縣","南庄鄉  ","苗栗縣南庄鄉[苗栗縣南庄鄉東河村]","土石流",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",254924.42,2715298.56,"2017-06-23T16:27:00"
187759,"042017060002577","2017-06-23T15:58:29","106年6月EMIC操作演練中央專案","積淹水災情","地區積淹水","120.344154,23.97853",120.344154,23.97853,"彰化縣","芳苑鄉  ","彰化縣芳苑鄉新寶村","無",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",183261.13,2652800.62,"2017-06-23T16:27:00"
187760,"042017060002566","2017-06-23T15:58:16","106年6月EMIC操作演練中央專案","車輛及交通事故","車輛因災毀損","120.8719253540039,24.631843098519596",120.871925,24.631843,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉[苗栗縣造橋鄉平興村]","何時可以下課",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",237033.88,2725006.87,"2017-06-23T16:27:00"
187761,"042017060002583","2017-06-23T15:57:19","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌欲墜","120.779954,24.409302",120.779954,24.409302,"苗栗縣","三義鄉  ","苗栗縣三義鄉雙潭村8鄰101號","該地區之災情已派員前往處理。 ==================== 該地區有一路樹倒塌已派員前往處理。 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",227683.51,2700371.08,"2017-06-23T16:27:00"
187762,"042017060002563","2017-06-23T15:56:17","106年6月EMIC操作演練中央專案","土石災情","土石流","121.03049755096436,24.544859033542053",121.030498,24.544859,"苗栗縣","南庄鄉  ","苗栗縣南庄鄉[苗栗縣南庄鄉東河村]","落石",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",253089.67,2715367.2,"2017-06-23T16:27:00"
187768,"042017060002616","2017-06-23T15:56:17","106年6月EMIC操作演練中央專案","土石災情","土石流","121.03049755096436,24.544859033542053",121.030498,24.544859,"苗栗縣","南庄鄉  ","苗栗縣南庄鄉[苗栗縣南庄鄉東河村]","土石流 ==================== 落石 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",253089.67,2715367.2,"2017-06-23T16:57:00"
187763,"042017060002564","2017-06-23T15:56:06","106年6月EMIC操作演練中央專案","土石災情","土石流","120.88981,24.333133",120.88981,24.333133,"苗栗縣","卓蘭鎮  ","苗栗縣卓蘭鎮坪林里8鄰","土石流從山壁刷落影嚮交通出入,恐危急下方住戶",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",238818.14,2691921.89,"2017-06-23T16:27:00"
187738,"122017060001202","2017-06-23T15:24:37","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","121.869110,24.584062",121.86911,24.584062,"宜蘭縣","蘇澳鎮  ","宜蘭縣蘇澳鎮永春里","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",338023.21,2719986.56,"2017-06-23T15:57:00"
187731,"042017060002559","2017-06-23T15:08:26","106年6月EMIC操作演練中央專案","橋梁災情","橋墩基礎沖刷","121.04283571243286,24.3142260395978",121.042836,24.314226,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉公路35K處","橋墩沖刷",0,0,0,0,0,"已處理","點","災情查報WEB","","是","否",254347.53,2689824.14,"2017-06-23T15:27:00"
187732,"042017060002556","2017-06-23T14:53:20","106年6月EMIC操作演練中央專案","道路、隧道災情","土石流阻斷","121.09308421611786,24.46735964381899",121.093084,24.46736,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉梅園村公路200K","土石流",0,0,0,0,0,"待處理","點","災情查報WEB","","是","是",259436.02,2706786.63,"2017-06-23T15:27:00"
187733,"042017060002555","2017-06-23T14:51:25","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","121.04665517807007,24.32431570834626",121.046655,24.324316,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉[苗栗縣泰安鄉梅園村]","路樹倒123",0,0,0,0,0,"待處理","點","災情查報WEB","","否","是",254734.8,2690941.71,"2017-06-23T15:27:00"
187734,"042017060002553","2017-06-23T14:50:04","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","121.0493803024292,24.339409604581363",121.04938,24.33941,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉[苗栗縣泰安鄉梅園村]100K北上","100K北上方向，路樹倒榻。",0,0,0,0,0,"待處理","點","災情查報WEB","","否","是",255010.77,2692613.48,"2017-06-23T15:27:00"
187739,"042017060002560","2017-06-23T14:50:04","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","121.0493803024292,24.339409604581363",121.04938,24.33941,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉[苗栗縣泰安鄉梅園村]100K北上","路樹倒123 ==================== 100K北上方向，路樹倒榻。 ==================== 路樹倒榻影響交通。 ",0,0,0,0,0,"待處理","點","災情查報WEB","","否","是",255010.77,2692613.48,"2017-06-23T15:57:00"
187735,"042017060002552","2017-06-23T14:47:48","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","121.04150533676147,24.316427845403183",121.041505,24.316428,"苗栗縣","泰安鄉  ","苗栗縣泰安鄉[苗栗縣泰安鄉梅園村]","路樹倒榻影響交通。",0,0,0,0,0,"待處理","點","災情查報WEB","","否","是",254212.43,2690067.96,"2017-06-23T15:27:00"
187730,"042017060002551","2017-06-23T14:32:40","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.22617816925049,23.29646175964385",120.226178,23.296462,"臺南市","鹽水區  ","臺南市鹽水區[臺南市鹽水區孫厝里]","孫厝里南3線南孫厝寮公車站牌附近11戶民宅水淹10公分",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",170846.39,2577323.23,"2017-06-23T14:57:00"
187736,"122017060001200","2017-06-23T14:21:14","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","121.579993,25.069497",121.579993,25.069497,"臺北市","內湖區  ","臺北市內湖區東內湖營業所","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",308512.16,2773600.7,"2017-06-23T15:27:00"
187764,"042017060002594","2017-06-23T13:05:14","106年6月EMIC操作演練中央專案","火災","建築物","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","燒毀！！",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",237962.78,2724553.51,"2017-06-23T16:27:00"
187765,"042017060002590","2017-06-23T12:22:49","106年6月EMIC操作演練中央專案","建物毀損","建物半倒","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","你知道什麼是噹噹噹？",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",237962.78,2724553.51,"2017-06-23T16:27:00"
187740,"122017060001201","2017-06-23T12:00:53","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.358787,22.671782",120.358787,22.671782,"高雄市","仁武區  ","高雄市仁武區仁慈路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",184108.97,2508081.45,"2017-06-23T15:57:00"
187737,"042017060002558","2017-06-23T12:00:00","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.22797,23.297554",120.22797,23.297554,"臺南市","鹽水區  ","臺南市鹽水區孫厝里","南3線積水10CM",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",171030.33,2577443.21,"2017-06-23T15:27:00"
187727,"122017060001197","2017-06-23T11:32:14","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","121.705887,24.746348",121.705887,24.746348,"宜蘭縣","員山鄉  ","宜蘭縣員山鄉臺9甲大湖路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",321399,2737867.2,"2017-06-23T13:27:00"
187728,"122017060001198","2017-06-23T11:27:57","106年6月EMIC操作演練中央專案","道路、隧道災情","道路落石","121.519500,25.012237",121.5195,25.012237,"新北市","永和區  ","新北市永和區試用","道路落石",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","是","否",302433.6,2767233.46,"2017-06-23T13:27:00"
187729,"122017060001199","2017-06-23T10:24:57","106年6月EMIC操作演練中央專案","橋梁災情","橋梁斷裂","121.289642,25.057097",121.289642,25.057097,"桃園市","蘆竹區  ","桃園縣蘆竹鄉桃3南山路一段","橋梁斷裂",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","是","否",279223.02,2772133.04,"2017-06-23T13:57:00"
187723,"042017060002548","2017-06-23T10:16:38","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.81132888793945,24.564883598332695",120.811329,24.564884,"苗栗縣","苗栗市  ","苗栗縣苗栗市[苗栗縣苗栗市福麗里25鄰至公路487之1號]","路樹倒塌",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",230888.99,2717597.78,"2017-06-23T10:57:00"
187725,"042017060002549","2017-06-23T10:16:38","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.81132888793945,24.564883598332695",120.811329,24.564884,"苗栗縣","苗栗市  ","苗栗縣苗栗市[苗栗縣苗栗市福麗里25鄰至公路487之1號]","路樹倒塌 ==================== TEST ",0,0,0,0,0,"處理中","點","災情查報WEB","","否","否",230888.99,2717597.78,"2017-06-23T11:27:00"
187710,"042017060002544","2017-06-23T10:10:44","106年6月EMIC操作演練中央專案","道路、隧道災情","路基流失","120.81703662872314,24.563689240202276",120.817037,24.563689,"苗栗縣","苗栗市  ","苗栗縣苗栗市[苗栗縣苗栗市福麗里37鄰民族路96號]","TEST",0,0,0,0,0,"待處理","點","災情查報WEB","","是","否",231466.98,2717464.7,"2017-06-23T10:27:00"
187711,"042017060002542","2017-06-23T10:07:07","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌欲墜","120.81372678279877,24.567005897655875",120.813727,24.567006,"苗栗縣","苗栗市  ","苗栗縣苗栗市[苗栗縣苗栗市文山里4鄰國華路974號]","風吹造成招牌搖搖欲墜。影響用路安全",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",231132.21,2717832.49,"2017-06-23T10:27:00"
187724,"042017060002547","2017-06-23T10:06:23","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.9114933013916,24.51736786927644",120.911493,24.517368,"苗栗縣","獅潭鄉  ","苗栗縣獅潭鄉[苗栗縣獅潭鄉和興村]","1人受困",0,0,0,0,0,"處理中","點","災情查報WEB","","否","否",241031.55,2712324.95,"2017-06-23T10:57:00"
187712,"042017060002539","2017-06-23T10:05:14","106年6月EMIC操作演練中央專案","道路、隧道災情","土石流阻斷","120.704374447354,24.4889993662694",120.704374,24.488999,"苗栗縣","通霄鎮  ","苗栗縣通霄鎮","333",1,0,0,0,0,"未指派","點","災情查報WEB","","是","否",220037.24,2709212.18,"2017-06-23T10:27:00"
187713,"042017060002537","2017-06-23T10:03:26","106年6月EMIC操作演練中央專案","建物毀損","建物輕微受損","120.907805,24.684771",120.907805,24.684771,"苗栗縣","頭份市  ","苗栗縣頭份市中正路100號","建築物倒塌",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",240670.23,2730866.1,"2017-06-23T10:27:00"
187714,"042017060002541","2017-06-23T09:59:25","106年6月EMIC操作演練中央專案","土石災情","土石流","120.66756248474121,24.39893083133083",120.667562,24.398931,"苗栗縣","苑裡鎮  ","苗栗縣苑裡鎮[苗栗縣苑裡鎮山柑里8鄰77之16號]","土石滑落，僅能單線通行。",0,0,1,0,0,"未指派","點","災情查報WEB","","否","是",216282.23,2699245.14,"2017-06-23T10:27:00"
187715,"042017060002538","2017-06-23T09:59:14","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.926550274998,24.6691990676324",120.92655,24.669199,"苗栗縣","頭份市  ","苗栗縣頭份市","222",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",242566.26,2729140.25,"2017-06-23T10:27:00"
187716,"042017060002535","2017-06-23T09:58:26","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.86685061454773,24.641790315243217",120.866851,24.64179,"苗栗縣","造橋鄉  ","苗栗縣頭份市[苗栗縣造橋鄉造橋村3鄰平仁路49之1號]","路樹倒塌，影響車輛通行安全問題",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",236521.19,2726109.09,"2017-06-23T10:27:00"
187717,"042017060002536","2017-06-23T09:58:08","106年6月EMIC操作演練中央專案","道路、隧道災情","土石流阻斷","120.79646301164757,24.52691618188256",120.796463,24.526916,"苗栗縣","苗栗市  ","苗栗縣苗栗市台13線10KM[苗栗縣苗栗市南勢里8鄰16號]","落石",0,0,0,0,0,"待處理","點","災情查報WEB","","是","否",229376.98,2713394.81,"2017-06-23T10:27:00"
187718,"042017060002546","2017-06-23T09:58:02","106年6月EMIC操作演練中央專案","建物毀損","圍牆（籬）倒塌","120.880209,24.69508",120.880209,24.69508,"苗栗縣","竹南鎮  ","苗栗縣竹南鎮照南國中","校園重建圍籬倒塌",0,0,0,0,0,"未指派","點","災情查報WEB","","是","否",237878.62,2732010.06,"2017-06-23T10:27:00"
187719,"042017060002545","2017-06-23T09:57:06","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌欲墜","120.774308292222,24.6167500848357",120.774308,24.61675,"苗栗縣","後龍鎮  ","苗栗縣後龍鎮","鷹架倒塌",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",227148.49,2723347.94,"2017-06-23T10:27:00"
187720,"042017060002540","2017-06-23T09:57:04","106年6月EMIC操作演練中央專案","車輛及交通事故","車輛因災毀損","120.86763381958008,24.395397711844115",120.867634,24.395398,"苗栗縣","大湖鄉  ","苗栗縣大湖鄉[苗栗縣大湖鄉義和村3鄰1之3號]","1人受傷",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",236574.31,2698819.83,"2017-06-23T10:27:00"
187721,"042017060002543","2017-06-23T09:56:59","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.811772531146,24.5588289062375",120.811773,24.558829,"苗栗縣","苗栗市  ","苗栗縣苗栗市中正路","TEST",0,0,0,0,0,"未指派","點","災情查報WEB","","否","否",230933.01,2716927.11,"2017-06-23T10:27:00"
187722,"042017060002534","2017-06-23T09:56:55","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.82446098327637,24.57023074806494",120.824461,24.570231,"苗栗縣","苗栗市  ","苗栗縣苗栗市北苗里15鄰為公路77號\8965858586556566","淹水10公分",0,0,0,0,0,"未指派","點","災情查報WEB","","否","是",232219.94,2718188.23,"2017-06-23T10:27:00"
187709,"122017060001196","2017-06-23T09:11:29","106年6月EMIC操作演練中央專案","道路、隧道災情","道路落石","119.597190,23.635667",119.59719,23.635667,"澎湖縣","白沙鄉  ","澎湖縣白沙鄉前有測速照相機請慢行","道路落石",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","是","否",106867.17,2615377.83,"2017-06-23T09:57:00"
187705,"122017060001195","2017-06-23T08:40:09","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.260573,22.857685",120.260573,22.857685,"高雄市","路竹區  ","高雄市路竹區臺1中山路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",174118.94,2528714.51,"2017-06-23T09:27:00"
187706,"122017060001193","2017-06-23T08:40:01","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.260513,22.857878",120.260513,22.857878,"高雄市","路竹區  ","高雄市路竹區臺1中山路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",174112.89,2528735.92,"2017-06-23T09:27:00"
187707,"122017060001194","2017-06-23T08:36:35","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌掉落","120.545233,22.555070",120.545233,22.55507,"屏東縣","潮州鎮  ","屏東縣潮州鎮朝昇路","廣告招牌掉落",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",203229.05,2495087.29,"2017-06-23T09:27:00"
187704,"122017060001191","2017-06-23T08:26:46","106年6月EMIC操作演練中央專案","積淹水災情","道路積淹水","121.246893,24.955247",121.246893,24.955247,"桃園市","中壢區  ","桃園縣中壢市中壢二營業所","道路積淹水",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",274930.45,2760843.32,"2017-06-23T08:57:00"
187703,"122017060001192","2017-06-23T08:26:46","106年6月EMIC操作演練中央專案","積淹水災情","道路積淹水","121.246893,24.955247",121.246893,24.955247,"桃園市","中壢區  ","桃園縣中壢市中壢二營業所","道路積淹水",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",274930.45,2760843.32,"2017-06-23T08:57:00"
187702,"122017060001190","2017-06-23T08:12:43","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.532547,24.180388",120.532547,24.180388,"臺中市","龍井區  ","臺中市龍井區龍井營業所","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",202506.76,2675080.17,"2017-06-23T08:27:00"
187708,"042017060002533","2017-06-23T08:10:00","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.22797,23.297554",120.22797,23.297554,"臺南市","鹽水區  ","臺南市鹽水區孫厝里南3線","孫厝里南3線孫厝寮公車站牌附近11戶民宅水 淹10公分",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",171030.33,2577443.21,"2017-06-23T09:27:00"
187700,"122017060001189","2017-06-23T07:37:56","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌掉落","120.324097,22.711688",120.324097,22.711688,"高雄市","楠梓區  ","高雄市楠梓區北高營業所","廣告招牌掉落",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",180564.22,2512516.2,"2017-06-23T07:57:00"
